token,n
dia,228
homem,217
mulher,154
casa,148
dona,144
meio,136
tempo,119
vez,118
noite,117
padre,110
coisa,104
olhos,101
anos,98
menino,87
coronel,85
história,85
senhor,83
velho,83
povo,75
cidade,74
lado,74
coisas,69
horas,66
deus,65
gente,64
pai,63
morte,62
café,61
mundo,61
vida,60
mãe,59
silêncio,59
dias,56
menina,56
porta,56
mão,55
boca,54
bom,54
janela,54
quarto,54
sertão,53
grande,52
mesmo,52
doutor,51
dor,50
marido,50
pessoas,50
anjo,49
medo,49
novo,48
rua,48
pobre,47
água,46
cabeça,46
filho,46
hora,46
manhã,45
alma,43
vaqueiro,43
vento,42
vezes,42
chão,41
diabo,41
pro,41
sol,41
jeito,40
pé,40
praça,40
ano,39
cama,39
certo,39
frente,39
tempos,39
cheiro,38
histórias,38
mesa,38
momento,38
nome,38
verdade,38
tarde,37
cima,36
almoço,35
fim,34
luz,34
velha,34
céu,33
volta,33
cavalo,32
cícero,32
igreja,32
lugar,32
seguinte,32
voz,32
mar,31
minino,31
senhora,31
bode,30
canto,30
corpo,30
forma,30
moça,30
pade,30
professor,30
sala,29
azul,28
bar,28
bicho,28
esposa,28
livro,28
ôxente,28
pessoa,28
rapaz,28
sonho,28
terra,28
chefe,27
dinheiro,27
maior,27
mãos,27
pequena,27
pernas,27
possível,27
trabalho,27
cabra,26
certeza,26
mato,26
mesma,26
noites,26
preto,26
cão,25
conta,25
criança,25
enorme,25
estrada,25
odor,25
olhar,25
alto,24
cara,24
coração,24
fortaleza,24
médico,24
sorriso,24
alfredo,23
bonito,23
folhas,23
frio,23
meninos,23
seca,23
abud,22
agenor,22
bela,22
cadeira,22
causa,22
forte,22
sangue,22
açude,21
amor,21
avô,21
baixo,21
branco,21
busca,21
carta,21
joão,21
parte,21
sombra,21
terrível,21
ar,20
cor,20
cruz,20
dono,20
entanto,20
fato,20
homens,20
muié,20
pele,20
sombras,20
sorte,20
tipo,20
cozinha,19
doente,19
fazenda,19
fome,19
maneira,19
merda,19
miserável,19
mulheres,19
palavras,19
santo,19
sentouse,19
amigos,18
bonita,18
branca,18
cena,18
cigana,18
doce,18
filha,18
francisco,18
impressão,18
jovem,18
melhor,18
monte,18
rede,18
rico,18
sábado,18
zé,18
atenção,17
banheiro,17
cachorro,17
caso,17
chico,17
curiosidade,17
estátua,17
filhos,17
gosto,17
hôme,17
ideia,17
infeliz,17
paixão,17
pés,17
ponto,17
vista,17
beleza,16
cabelos,16
cheio,16
chuva,16
conversa,16
cornélio,16
desgraçado,16
estradas,16
ferro,16
final,16
foto,16
glória,16
meiodia,16
mermo,16
ônibus,16
